Designator ,Val,Package,Mid X,Mid Y,Rotation ,Layer
C1,0.1uF,C_1206_3216Metric,173.99,-89.105,270,top
C2,0.1uF,C_1206_3216Metric,196.85,-42.75,270,top
C3,0.1uF,C_1206_3216Metric,172.085,-38.94,270,top
C4,0.1uF,C_1206_3216Metric,186.69,-104.98,270,top
D1,MBR120/130,D_SOD-123,229.87,-41.91,0,top
R1,120R,R_1206_3216Metric,165.735,-41.91,0,top
R2,120R,R_1206_3216Metric,165.735,-38.1,180,top
R3,10K,R_1206_3216Metric,213.995,-82.55,270,top
R4,10K,R_1206_3216Metric,174.625,-48.895,180,top
R5,10K,R_1206_3216Metric,217.805,-122.555,270,top
R6,10K,R_1206_3216Metric,220.98,-122.555,270,top
R7,10K,R_1206_3216Metric,224.155,-122.555,270,top
R8,10K,R_1206_3216Metric,227.33,-122.555,270,top
R9,10K,R_1206_3216Metric,230.505,-122.555,270,top
